"The Harvard architecture for micro-controllers added which additional bus?","Instruction","Address","Data","Control"
"Which company was established on April 1st 1976 by Steve Jobs Steve Wozniak and Ronald Wayne?","Apple","Microsoft","Atari","Commodore"
"In any programming language what is the most common way to iterate through an array?","&#039;For&#039; loops","&#039;If&#039; Statements","&#039;Do-while&#039; loops","&#039;While&#039; loops"
"What does CPU stand for?","Central Processing Unit","Central Process Unit","Computer Personal Unit","Central Processor Unit"
"Which internet company began life as an online bookstore called &#039;Cadabra&#039;?","Amazon","eBay","Overstock","Shopify"
"How many bytes are in a kilobyte of RAM?","1024","512","1000","500"
"What was the name of the security vulnerability found in Bash in 2014?","Shellshock","Heartbleed","Bashbug","Stagefright"
"When Gmail first launched how much storage did it provide for your email?","1GB","512MB","5GB","Unlimited"
"Whistler was the codename of this Microsoft Operating System.","Windows XP","Windows 2000","Windows 7","Windows 95"
"Moore&#039;s law originally stated that the number of transistors on a microprocessor chip would double every...","Year","Four Years","Two Years","Eight Years"
"What does GHz stand for?","Gigahertz","Gigahotz","Gigahetz","Gigahatz"
"What does AD stand for in relation to Windows Operating Systems? ","Active Directory","Alternative Drive","Automated Database","Active Department"
"What amount of bits commonly equals one byte?","8","1","2","64"
"How many Hz does the video standard PAL support?","50","59","60","25"
"Which computer hardware device provides an interface for all other connected devices to communicate?","Motherboard","Central Processing Unit","Hard Disk Drive","Random Access Memory"
"On which computer hardware device is the BIOS chip located?","Motherboard","Hard Disk Drive","Central Processing Unit","Graphics Processing Unit"
"In the programming language Java which of these keywords would you put on a variable to make sure it doesn&#039;t get modified?","Final","Static","Private","Public"
"Which of the following languages is used in the video game engine Unity 3D?","C#","Java","C++","Objective-C"
"If you were to code software in this language you&#039;d only be able to type 0&#039;s and 1&#039;s.","Binary","JavaScript","C++","Python"
"What does the Prt Sc button do?","Captures what&#039;s on the screen and copies it to your clipboard","Nothing","Saves a .png file of what&#039;s on the screen in your screenshots folder in photos","Closes all windows"
"All of the following programs are classified as raster graphics editors EXCEPT:","Inkscape","Paint.NET","GIMP","Adobe Photoshop"
"The series of the Intel HD graphics generation succeeding that of the 5000 and 6000 series (Broadwell) is called:","HD Graphics 500","HD Graphics 700 ","HD Graphics 600","HD Graphics 7000"
"The computer OEM manufacturer Clevo known for its Sager notebook line is based in which country?","Taiwan","United States","Germany","China (People&#039;s Republic of)"
"Nvidia&#039;s headquarters are based in which Silicon Valley city?","Santa Clara","Palo Alto","Cupertino","Mountain View"
"What is the most preferred image format used for logos in the Wikimedia database?",".svg",".png",".jpeg",".gif"
"What did the name of the Tor Anonymity Network orignially stand for?","The Onion Router","The Only Router","The Orange Router","The Ominous Router"
"What was the first commerically available computer processor?","Intel 4004","Intel 486SX","TMS 1000","AMD AM386"
"What was the name given to Android 4.3?","Jelly Bean","Lollipop","Nutella","Froyo"
"In web design what does CSS stand for?","Cascading Style Sheet","Counter Strike: Source","Corrective Style Sheet","Computer Style Sheet"
"Which of these is the name for the failed key escrow device introduced by the National Security Agency in 1993?","Clipper Chip","Enigma Machine","Skipjack","Nautilus"
"On which day did the World Wide Web go online?","December 20 1990","December 17 1996","November 12 1990","November 24 1995"
"What is the domain name for the country Tuvalu?",".tv",".tu",".tt",".tl"
"What does the acronym CDN stand for in terms of networking?","Content Delivery Network","Content Distribution Network","Computational Data Network","Compressed Data Network"
"Generally which component of a computer draws the most power?","Video Card","Hard Drive","Processor","Power Supply"
"How many cores does the Intel i7-6950X have?","10","12","8","4"
"Which one of these is not an official development name for a Ubuntu release?","Mystic Mansion","Trusty Tahr","Utopic Unicorn","Wily Werewolf"
"In the server hosting industry IaaS stands for...","Infrastructure as a Service","Internet as a Service","Internet and a Server","Infrastructure as a Server"
"Which coding language was the #1 programming language in terms of usage on GitHub in 2015?","JavaScript","C#","Python","PHP"
"Which of these names was an actual codename for a cancelled Microsoft project?","Neptune","Enceladus","Pollux","Saturn"
"The numbering system with a radix of 16 is more commonly referred to as ","Hexidecimal","Binary","Duodecimal","Octal"
"What is known as &quot;the brain&quot; of the Computer?","Central Processing Unit","Motherboard","Graphics Processing Unit","Keyboard"
